time_bin,gpu_demand
774000,3096
774300,3096
774600,3096
774900,3096
775200,3096
775500,3096
775800,3096
776100,3096
776400,3096
776700,3096
777000,3096
777300,3096
777600,3096
777900,3096
778200,3096
778500,3096
778800,3096
779100,3096
779400,3096
779700,3096
780000,3096
780300,3096
780600,3096
780900,3096
781200,3096
781500,3096
781800,3096
782100,3096
782400,3096
782700,3096
783000,3097
783300,3097
783600,3097
783900,3097
784200,3097
784500,3097
784800,3097
785100,3097
785400,3097
785700,3097
786000,3096
786300,3096
786600,3096
786900,3096
787200,3096
787500,3096
787800,3096
788100,3096
788400,3096
788700,3096
789000,3096
789300,3096
789600,3096
789900,3096
790200,3096
790500,3096
790800,3096
791100,3096
791400,3096
791700,3096
792000,3096
792300,3096
792600,3096
792900,3096
793200,3096
793500,3096
793800,3096
794100,3096
794400,3096
794700,3096
795000,3096
795300,3098
795600,3098
795900,3098
796200,3098
796500,3098
796800,3098
797100,3098
797400,3098
797700,3098
798000,3098
798300,3098
798600,3098
798900,3098
799200,3097
799500,3097
799800,3097
800100,3097
800400,3097
800700,3097
801000,3097
801300,3096
801600,3096
801900,3096
802200,3096
802500,3096
802800,3096
803100,3096
803400,3096
803700,3096
804000,3096
804300,3096
804600,3096
804900,3096
805200,3096
805500,3096
805800,3096
806100,3096
806400,3096
806700,3096
807000,3096
807300,3096
807600,3096
807900,3096
808200,3096
808500,3096
808800,3096
809100,3096
809400,3096
809700,3096
810000,3096
810300,3096
810600,3096
810900,3096
811200,3096
811500,3096
811800,3096
812100,3096
812400,3096
812700,3094
813000,3094
813300,3094
813600,3095
813900,3095
814200,3095
814500,3094
814800,3094
815100,3094
815400,3094
815700,3096
816000,3096
816300,3095
816600,3095
816900,3095
817200,3095
817500,3095
817800,3095
818100,3089
818400,3089
818700,3089
819000,3090
819300,3090
819600,3090
819900,3090
820200,3090
820500,3090
820800,3090
821100,3090
821400,3090
821700,3090
822000,3090
822300,3090
822600,3098
822900,3095
823200,3094
823500,3094
823800,3094
824100,3094
824400,3094
824700,3094
825000,3094
825300,3094
825600,3094
825900,3095
826200,3094
826500,3094
826800,3094
827100,3094
827400,3094
827700,3094
828000,3094
828300,3094
828600,3094
828900,3094
829200,3104
829500,3104
829800,3101
830100,3100
830400,3097
830700,3096
831000,3096
831300,3096
831600,3097
831900,3095
832200,3095
832500,3095
832800,3096
833100,3096
833400,3096
833700,3095
834000,3095
834300,3095
834600,3095
834900,3095
835200,3095
835500,3095
835800,3095
836100,3105
836400,3105
836700,3100
837000,3098
837300,3096
837600,3096
837900,3096
838200,3096
838500,3096
838800,3099
839100,3090
839400,3094
839700,3094
840000,3092
840300,3092
840600,3092
840900,3092
841200,3092
841500,3092
841800,3092
842100,3092
842400,3092
842700,3092
843000,3099
843300,3096
843600,3093
843900,3092
844200,3092
844500,3092
844800,3092
845100,3092
845400,3092
845700,3092
846000,3092
846300,3092
846600,3092
846900,3092
847200,3092
847500,3092
847800,3092
848100,3092
848400,3092
848700,3092
849000,3092
849300,3094
849600,3094
849900,3094
850200,3094
850500,3094
850800,3094
851100,3094
851400,3096
851700,3096
852000,3110
852300,3099
852600,3097
852900,3094
853200,3104
853500,3104
853800,3098
854100,3098
854400,3097
854700,3097
855000,3097
855300,3097
855600,3097
855900,3097
856200,3097
856500,3098
856800,3098
857100,3098
857400,3097
857700,3097
858000,3097
858300,3097
858600,3097
858900,3097
859200,3097
859500,3097
859800,3097
860100,3099
860400,3099
860700,3099
861000,3099
861300,3099
861600,3099
861900,3099
862200,3099
862500,3099
862800,3099
863100,3099
863400,3099
863700,3099
864000,3099
864300,3099
864600,3099
864900,3099
865200,3099
865500,3099
865800,3099
866100,3099
866400,3099
866700,3099
867000,3099
867300,3099
867600,3099
867900,3099
868200,3099
868500,3099
868800,3099
869100,3099
869400,3100
869700,3100
870000,3100
870300,3100
870600,3100
870900,3100
871200,3100
871500,3100
871800,3100
872100,3100
872400,3099
872700,3099
873000,3099
873300,3099
873600,3103
873900,3103
874200,3102
874500,3102
874800,3102
875100,3102
875400,3102
875700,3102
876000,3102
876300,3102
876600,3102
876900,3102
877200,3102
877500,3102
877800,3102
878100,3102
878400,3102
878700,3102
879000,3102
879300,3102
879600,3102
879900,3102
880200,3102
880500,3102
880800,3102
881100,3102
881400,3102
881700,3102
882000,3102
882300,3104
882600,3104
882900,3104
883200,3104
883500,3104
883800,3105
884100,3105
884400,3104
884700,3104
885000,3104
885300,3105
885600,3105
885900,3105
886200,3103
886500,3103
886800,3103
887100,3103
887400,3103
887700,3102
888000,3102
888300,3102
888600,3102
888900,3102
889200,3102
889500,3102
889800,3102
890100,3102
890400,3102
890700,3108
891000,3107
891300,3104
891600,3104
891900,3102
892200,3102
892500,3102
892800,3102
893100,3102
893400,3102
893700,3102
894000,3103
894300,3103
894600,3103
894900,3102
895200,3102
895500,3102
895800,3102
896100,3102
896400,3102
896700,3102
897000,3102
897300,3102
897600,3102
897900,3102
898200,3102
898500,3102
898800,3102
899100,3102
899400,3102
899700,3102
900000,3102
900300,3102
900600,3102
900900,3102
901200,3102
901500,3102
901800,3102
902100,3105
902400,3105
902700,3129
903000,3129
903300,3129
903600,3129
903900,3129
904200,3130
904500,3130
904800,3134
905100,3134
905400,3134
905700,3134
906000,3144
906300,3150
906600,3140
906900,3139
907200,3139
907500,3136
907800,3132
908100,3132
908400,3132
908700,3132
909000,3132
909300,3132
909600,3142
909900,3142
910200,3140
910500,3134
910800,3134
911100,3134
911400,3134
911700,3134
912000,3134
912300,3134
912600,3134
912900,3134
913200,3134
913500,3134
913800,3134
914100,3138
914400,3140
914700,3148
915000,3146
915300,3139
915600,3136
915900,3136
916200,3136
916500,3137
916800,3137
917100,3136
917400,3136
917700,3136
918000,3136
918300,3136
918600,3136
918900,3165
919200,3165
919500,3176
919800,3146
920100,3146
920400,3148
920700,3186
921000,3186
921300,3174
921600,3161
921900,3156
922200,3156
922500,3158
922800,3163
923100,3155
923400,3151
923700,3151
924000,3151
924300,3152
924600,3152
924900,3152
925200,3152
925500,3154
925800,3154
926100,3152
926400,3152
926700,3152
927000,3152
927300,3152
927600,3152
927900,3152
928200,3152
928500,3152
928800,3152
929100,3152
929400,3152
929700,3152
930000,3152
930300,3152
930600,3152
930900,3153
931200,3164
931500,3160
931800,3158
932100,3156
932400,3156
932700,3156
933000,3154
933300,3154
933600,3154
933900,3154
934200,3154
934500,3154
934800,3154
935100,3154
935400,3154
935700,3154
936000,3154
936300,3154
936600,3154
936900,3154
937200,3154
937500,3154
937800,3154
938100,3154
938400,3154
938700,3154
939000,3154
939300,3154
939600,3154
939900,3154
940200,3154
940500,3154
940800,3154
941100,3154
941400,3154
941700,3154
942000,3154
942300,3154
942600,3154
942900,3154
943200,3154
943500,3154
943800,3154
944100,3154
944400,3154
944700,3154
945000,3154
945300,3154
945600,3154
945900,3154
946200,3154
946500,3154
946800,3154
947100,3154
947400,3154
947700,3154
948000,3154
948300,3154
948600,3154
948900,3154
949200,3154
949500,3154
949800,3154
950100,3154
950400,3154
950700,3154
951000,3154
951300,3157
951600,3157
951900,3155
952200,3154
952500,3154
952800,3154
953100,3154
953400,3154
953700,3154
954000,3154
954300,3154
954600,3154
954900,3154
955200,3154
955500,3154
955800,3155
956100,3155
956400,3155
956700,3156
957000,3156
957300,3156
957600,3156
957900,3156
958200,3156
958500,3156
958800,3155
959100,3155
959400,3155
959700,3155
960000,3155
960300,3155
960600,3155
960900,3155
961200,3155
961500,3155
961800,3155
962100,3155
962400,3155
962700,3155
963000,3155
963300,3157
963600,3157
963900,3156
964200,3156
964500,3156
964800,3156
965100,3156
965400,3156
965700,3161
966000,3160
966300,3157
966600,3157
966900,3157
967200,3157
967500,3157
967800,3157
968100,3157
968400,3157
968700,3157
969000,3157
969300,3157
969600,3157
969900,3157
970200,3157
970500,3157
970800,3157
971100,3157
971400,3157
971700,3157
972000,3157
972300,3157
972600,3157
972900,3157
973200,3157
973500,3158
973800,3158
974100,3157
974400,3157
974700,3157
975000,3157
975300,3157
975600,3157
975900,3157
976200,3157
976500,3157
976800,3157
977100,3157
977400,3157
977700,3157
978000,3157
978300,3157
978600,3157
978900,3157
979200,3158
979500,3158
979800,3159
980100,3158
980400,3158
980700,3157
981000,3157
981300,3158
981600,3158
981900,3158
982200,3157
982500,3157
982800,3157
983100,3157
983400,3157
983700,3157
984000,3157
984300,3157
984600,3157
984900,3157
985200,3157
985500,3157
985800,3157
986100,3158
986400,3158
986700,3158
987000,3157
987300,3157
987600,3157
987900,3157
988200,3157
988500,3157
988800,3157
989100,3157
989400,3157
989700,3160
990000,3160
990300,3160
990600,3160
990900,3160
991200,3160
991500,3160
991800,3160
992100,3160
992400,3160
992700,3160
993000,3160
993300,3160
993600,3160
993900,3160
994200,3160
994500,3160
994800,3160
995100,3160
995400,3161
995700,3161
996000,3161
996300,3160
996600,3160
996900,3160
997200,3160
997500,3160
997800,3160
998100,3160
998400,3160
998700,3160
999000,3160
999300,3160
999600,3160
999900,3160
1000200,3160
1000500,3160
1000800,3160
1001100,3163
1001400,3169
1001700,3168
1002000,3168
1002300,3174
1002600,3181
1002900,3179
1003200,3167
1003500,3166
1003800,3169
1004100,3168
1004400,3162
1004700,3162
1005000,3160
1005300,3161
1005600,3161
1005900,3161
1006200,3161
1006500,3164
1006800,3164
1007100,3161
1007400,3161
1007700,3161
1008000,3161
1008300,3160
1008600,3169
1008900,3169
1009200,3165
1009500,3164
1009800,3162
1010100,3160
1010400,3160
1010700,3160
1011000,3160
1011300,3160
1011600,3160
1011900,3162
1012200,3163
1012500,3163
1012800,3161
1013100,3161
1013400,3161
1013700,3161
1014000,3161
1014300,3161
1014600,3160
1014900,3160
1015200,3161
1015500,3161
1015800,3160
1016100,3160
1016400,3161
1016700,3161
1017000,3161
1017300,3160
1017600,3163
1017900,3163
1018200,3161
1018500,3160
1018800,3160
1019100,3161
1019400,3161
1019700,3162
1020000,3162
1020300,3161
1020600,3161
1020900,3160
1021200,3160
1021500,3161
1021800,3155
1022100,3151
1022400,3149
1022700,3152
1023000,3156
1023300,3154
1023600,3149
1023900,3149
1024200,3149
1024500,3149
1024800,3149
1025100,3149
1025400,3149
1025700,3149
1026000,3149
1026300,3149
1026600,3149
1026900,3149
1027200,3149
1027500,3149
1027800,3149
1028100,3149
1028400,3149
1028700,3151
1029000,3150
1029300,3149
1029600,3149
1029900,3149
1030200,3149
1030500,3149
1030800,3149
1031100,3149
1031400,3151
1031700,3151
1032000,3150
1032300,3149
1032600,3149
1032900,3149
1033200,3149
1033500,3149
1033800,3150
1034100,3150
1034400,3149
1034700,3149
1035000,3149
1035300,3149
1035600,3149
1035900,3149
1036200,3149
1036500,3149
1036800,3149
1037100,3149
1037400,3149
1037700,3149
1038000,3149
1038300,3149
1038600,3149
1038900,3149
1039200,3149
1039500,3152
1039800,3151
1040100,3149
1040400,3149
1040700,3149
1041000,3149
1041300,3149
1041600,3149
1041900,3149
1042200,3151
1042500,3151
1042800,3151
1043100,3151
1043400,3151
1043700,3151
1044000,3151
1044300,3151
1044600,3151
1044900,3151
1045200,3149
1045500,3149
1045800,3149
1046100,3149
1046400,3149
1046700,3149
1047000,3149
1047300,3149
1047600,3149
1047900,3149
1048200,3149
1048500,3149
1048800,3149
1049100,3149
1049400,3149
1049700,3149
1050000,3149
1050300,3149
1050600,3149
1050900,3149
1051200,3149
1051500,3149
1051800,3149
1052100,3149
1052400,3149
1052700,3149
1053000,3149
1053300,3149
1053600,3149
1053900,3149
1054200,3149
1054500,3149
1054800,3149
1055100,3149
1055400,3149
1055700,3149
1056000,3149
1056300,3149
1056600,3149
1056900,3149
1057200,3149
1057500,3149
1057800,3149
1058100,3149
1058400,3149
1058700,3149
1059000,3149
1059300,3149
1059600,3149
1059900,3149
1060200,3149
1060500,3149
1060800,3149
1061100,3149
1061400,3149
1061700,3149
1062000,3149
1062300,3149
1062600,3149
1062900,3149
1063200,3149
1063500,3149
1063800,3149
1064100,3149
